crawled,title,href,字段1,字段2,字段3,字段4,字段5,字段6,字段7,字段8,字段9
1593742110,盐城奥迪A3 2015款 Sportback 35 TFSI 百万纪念舒享型二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/yancheng/8c26b1cf5090f18cx.htm,标配,-,-,自动,-,标配,-,标配,-/-
1593742136,南宁奥迪A3 2013款 Sportback 30 TFSI 技术型(进口)二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/nn/1a0aabe76f4f8a40x.htm,奥迪(进口),紧凑型车,1.4T/125马力/L4,7挡双离合,5门5座两厢车,4292/1765/1423,2578,370-1100,1460
1593742136,南宁奥迪A3 2013款 Sportback 30 TFSI 技术型(进口)二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/nn/1a0aabe76f4f8a40x.htm,1.4,涡轮增压,4缸,125,200,汽油,95号,直喷,欧4
1593742136,南宁奥迪A3 2013款 Sportback 30 TFSI 技术型(进口)二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/nn/1a0aabe76f4f8a40x.htm,前置前驱,电动助力,麦弗逊式独立悬架,多连杆独立悬架,通风盘式,盘式,手刹,205/55 R16,205/55 R16
1593742136,南宁奥迪A3 2013款 Sportback 30 TFSI 技术型(进口)二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/nn/1a0aabe76f4f8a40x.htm,标配/标配,标配/-,标配/标配,-,标配,标配,-,标配,标配
1593742136,南宁奥迪A3 2013款 Sportback 30 TFSI 技术型(进口)二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/nn/1a0aabe76f4f8a40x.htm,标配,标配,-,-,标配,标配,标配/标配,标配,标配
1593742136,南宁奥迪A3 2013款 Sportback 30 TFSI 技术型(进口)二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/nn/1a0aabe76f4f8a40x.htm,-,-,-,自动,-,标配,-,-,-/-
1593742136,深圳奥迪A3 2012款 Sportback 1.4T 舒适型(进口)二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/sz/cdc4e26f1e9d65b0x.htm,奥迪(进口),紧凑型车,1.4T/125马力/L4,7挡双离合,5门5座两厢车,4292/1765/1423,2578,370-1100,1460
1593742136,深圳奥迪A3 2012款 Sportback 1.4T 舒适型(进口)二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/sz/cdc4e26f1e9d65b0x.htm,1.4,涡轮增压,4缸,125,200,汽油,95号,直喷,欧4
1593742136,深圳奥迪A3 2012款 Sportback 1.4T 舒适型(进口)二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/sz/cdc4e26f1e9d65b0x.htm,前置前驱,电动助力,麦弗逊式独立悬架,多连杆独立悬架,通风盘式,盘式,手刹,225/45 R17,225/45 R17
1593742136,深圳奥迪A3 2012款 Sportback 1.4T 舒适型(进口)二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/sz/cdc4e26f1e9d65b0x.htm,标配/标配,标配/-,标配/标配,标配,标配,标配,-,标配,标配
1593742136,深圳奥迪A3 2012款 Sportback 1.4T 舒适型(进口)二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/sz/cdc4e26f1e9d65b0x.htm,标配,标配,-,-,标配,标配,标配/标配,标配,标配
1593742136,深圳奥迪A3 2012款 Sportback 1.4T 舒适型(进口)二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/sz/cdc4e26f1e9d65b0x.htm,-,-,-,自动,-,标配,-,-,-/-
1593742164,沈阳奥迪A3 2018款 30周年年型 Sportback 35 TFSI 风尚型二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/sy/2e46f8a9173f971ex.htm,一汽-大众奥迪,紧凑型车,1.4T/150马力/L4,7挡双离合,5门5座两厢车,4312/1785/1426,2629,380-1220,1340
1593742164,沈阳奥迪A3 2018款 30周年年型 Sportback 35 TFSI 风尚型二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/sy/2e46f8a9173f971ex.htm,1.4,涡轮增压,4缸,150,250,汽油,95号,直喷,国5
1593742164,沈阳奥迪A3 2018款 30周年年型 Sportback 35 TFSI 风尚型二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/sy/2e46f8a9173f971ex.htm,前置前驱,电动助力,麦弗逊式独立悬架,多连杆独立悬架,通风盘式,盘式,电子驻车,225/40 R18,225/40 R18
1593742164,沈阳奥迪A3 2018款 30周年年型 Sportback 35 TFSI 风尚型二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/sy/2e46f8a9173f971ex.htm,标配/标配,标配/选配,标配/标配,标配,标配,标配,-,标配,标配
1593742164,沈阳奥迪A3 2018款 30周年年型 Sportback 35 TFSI 风尚型二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/sy/2e46f8a9173f971ex.htm,标配,-,-,-,标配,标配,标配/标配,标配,选配
1593742164,沈阳奥迪A3 2018款 30周年年型 Sportback 35 TFSI 风尚型二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/sy/2e46f8a9173f971ex.htm,标配,选配,-,自动,选配,标配,标配,标配,选配/-
1593742164,上海奥迪A3 2014款 Sportback 35 TFSI 自动进取型二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/sh/7f736e92cc8313d9x.htm,一汽-大众奥迪,紧凑型车,1.4T/150马力/L4,7挡双离合,5门5座两厢车,4319/1785/1441,2629,380-1220,1340
1593742164,上海奥迪A3 2014款 Sportback 35 TFSI 自动进取型二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/sh/7f736e92cc8313d9x.htm,1.4,涡轮增压,4缸,150,250,汽油,95号,直喷,国4(国5)
1593742164,上海奥迪A3 2014款 Sportback 35 TFSI 自动进取型二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/sh/7f736e92cc8313d9x.htm,前置前驱,电动助力,麦弗逊式独立悬架,多连杆独立悬架,通风盘式,盘式,电子驻车,205/55 R16,205/55 R16
1593742164,上海奥迪A3 2014款 Sportback 35 TFSI 自动进取型二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/sh/7f736e92cc8313d9x.htm,标配/标配,标配/选配,标配/-,选配,标配,标配,选配,标配,标配
1593742164,上海奥迪A3 2014款 Sportback 35 TFSI 自动进取型二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/sh/7f736e92cc8313d9x.htm,选配,选配,-,-,选配,标配,标配/标配,标配,选配
1593742164,上海奥迪A3 2014款 Sportback 35 TFSI 自动进取型二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/sh/7f736e92cc8313d9x.htm,选配,选配,-,-,选配,标配,选配,-,选配/-
1593742192,太原奥迪A3 2018款 30周年年型 Sportback 35 TFSI 运动型二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/ty/ce9738b62a3a9eb7x.htm,一汽-大众奥迪,紧凑型车,1.4T/150马力/L4,7挡双离合,5门5座两厢车,4321/1785/1426,2629,380-1220,1340
1593742192,太原奥迪A3 2018款 30周年年型 Sportback 35 TFSI 运动型二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/ty/ce9738b62a3a9eb7x.htm,1.4,涡轮增压,4缸,150,250,汽油,95号,直喷,国5
1593742192,太原奥迪A3 2018款 30周年年型 Sportback 35 TFSI 运动型二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/ty/ce9738b62a3a9eb7x.htm,前置前驱,电动助力,麦弗逊式独立悬架,多连杆独立悬架,通风盘式,盘式,电子驻车,225/40 R18,225/40 R18
1593742192,太原奥迪A3 2018款 30周年年型 Sportback 35 TFSI 运动型二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/ty/ce9738b62a3a9eb7x.htm,标配/标配,标配/选配,标配/标配,标配,标配,标配,-,标配,标配
1593742192,太原奥迪A3 2018款 30周年年型 Sportback 35 TFSI 运动型二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/ty/ce9738b62a3a9eb7x.htm,标配,-,-,-,标配,标配,标配/标配,标配,选配
1593742192,太原奥迪A3 2018款 30周年年型 Sportback 35 TFSI 运动型二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/ty/ce9738b62a3a9eb7x.htm,标配,选配,-,自动,选配,标配,标配,-,选配/-
1593742192,青岛奥迪A3 2014款 Sportback 40 TFSI S line 舒适型(进口)二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/qd/bcc99fe9ff62ebccx.htm,奥迪(进口),紧凑型车,1.8T/180马力/L4,6挡双离合,5门5座两厢车,4324/1785/1423,2626,380-1220,1415
1593742192,青岛奥迪A3 2014款 Sportback 40 TFSI S line 舒适型(进口)二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/qd/bcc99fe9ff62ebccx.htm,1.8,涡轮增压,4缸,180,250,汽油,95号,直喷,欧5
1593742192,青岛奥迪A3 2014款 Sportback 40 TFSI S line 舒适型(进口)二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/qd/bcc99fe9ff62ebccx.htm,前置前驱,电动助力,麦弗逊式独立悬架,多连杆独立悬架,通风盘式,盘式,电子驻车,225/45 R17,225/45 R17
1593742192,青岛奥迪A3 2014款 Sportback 40 TFSI S line 舒适型(进口)二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/qd/bcc99fe9ff62ebccx.htm,标配/标配,标配/-,标配/标配,标配,标配,标配,选配,标配,标配
1593742192,青岛奥迪A3 2014款 Sportback 40 TFSI S line 舒适型(进口)二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/qd/bcc99fe9ff62ebccx.htm,标配,-,-,-,选配,标配,标配/标配,标配,标配
1593742192,青岛奥迪A3 2014款 Sportback 40 TFSI S line 舒适型(进口)二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/qd/bcc99fe9ff62ebccx.htm,标配,选配,-,自动,选配,标配,选配,-,选配/-
1593742220,大连奥迪A3 2016款 Sportback 35 TFSI 风尚型二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/dl/a7ec9790d9f7cb56x.htm,一汽-大众奥迪,紧凑型车,1.4T/150马力/L4,7挡双离合,5门5座两厢车,4319/1785/1426,2629,380-1220,1340
1593742220,大连奥迪A3 2016款 Sportback 35 TFSI 风尚型二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/dl/a7ec9790d9f7cb56x.htm,1.4,涡轮增压,4缸,150,250,汽油,95号,直喷,国4(国5)
1593742220,大连奥迪A3 2016款 Sportback 35 TFSI 风尚型二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/dl/a7ec9790d9f7cb56x.htm,前置前驱,电动助力,麦弗逊式独立悬架,多连杆独立悬架,通风盘式,盘式,电子驻车,225/45 R17,225/45 R17
1593742220,大连奥迪A3 2016款 Sportback 35 TFSI 风尚型二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/dl/a7ec9790d9f7cb56x.htm,标配/标配,标配/选配,标配/标配,标配,标配,标配,选配,标配,标配
1593742220,大连奥迪A3 2016款 Sportback 35 TFSI 风尚型二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/dl/a7ec9790d9f7cb56x.htm,标配,标配,-,-,选配,标配,标配/标配,标配,标配
1593742220,大连奥迪A3 2016款 Sportback 35 TFSI 风尚型二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/dl/a7ec9790d9f7cb56x.htm,标配,选配,-,自动,选配,标配,标配,标配,选配/-
1593742220,济南奥迪A3 2015款 Sportback 35 TFSI 百万纪念智领型二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/jn/e7f0b9232a82a72fx.htm,一汽-大众奥迪,紧凑型车,1.4T/150马力/L4,7挡双离合,5门5座两厢车,4319/1785/1441,2629,380-1220,1340
1593742220,济南奥迪A3 2015款 Sportback 35 TFSI 百万纪念智领型二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/jn/e7f0b9232a82a72fx.htm,1.4,涡轮增压,4缸,150,250,汽油,95号,直喷,国4(国5)
1593742220,济南奥迪A3 2015款 Sportback 35 TFSI 百万纪念智领型二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/jn/e7f0b9232a82a72fx.htm,前置前驱,电动助力,麦弗逊式独立悬架,多连杆独立悬架,通风盘式,盘式,电子驻车,205/55 R16,205/55 R16
1593742220,济南奥迪A3 2015款 Sportback 35 TFSI 百万纪念智领型二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/jn/e7f0b9232a82a72fx.htm,标配/标配,标配/-,标配/标配,-,标配,标配,-,标配,标配
1593742220,济南奥迪A3 2015款 Sportback 35 TFSI 百万纪念智领型二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/jn/e7f0b9232a82a72fx.htm,标配,标配,-,-,-,标配,标配/标配,标配,-
1593742220,济南奥迪A3 2015款 Sportback 35 TFSI 百万纪念智领型二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/jn/e7f0b9232a82a72fx.htm,标配,-,-,手动,-,标配,-,-,-/-
1593742248,潍坊奥迪A3 2018款 30周年年型 Sportback 35 TFSI 风尚型二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/weifang/f9c4c256e44c6837x.htm,一汽-大众奥迪,紧凑型车,1.4T/150马力/L4,7挡双离合,5门5座两厢车,4312/1785/1426,2629,380-1220,1340
1593742248,潍坊奥迪A3 2018款 30周年年型 Sportback 35 TFSI 风尚型二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/weifang/f9c4c256e44c6837x.htm,1.4,涡轮增压,4缸,150,250,汽油,95号,直喷,国5
1593742248,潍坊奥迪A3 2018款 30周年年型 Sportback 35 TFSI 风尚型二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/weifang/f9c4c256e44c6837x.htm,前置前驱,电动助力,麦弗逊式独立悬架,多连杆独立悬架,通风盘式,盘式,电子驻车,225/40 R18,225/40 R18
1593742248,潍坊奥迪A3 2018款 30周年年型 Sportback 35 TFSI 风尚型二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/weifang/f9c4c256e44c6837x.htm,标配/标配,标配/选配,标配/标配,标配,标配,标配,-,标配,标配
1593742248,潍坊奥迪A3 2018款 30周年年型 Sportback 35 TFSI 风尚型二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/weifang/f9c4c256e44c6837x.htm,标配,-,-,-,标配,标配,标配/标配,标配,选配
1593742248,潍坊奥迪A3 2018款 30周年年型 Sportback 35 TFSI 风尚型二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/weifang/f9c4c256e44c6837x.htm,标配,选配,-,自动,选配,标配,标配,标配,选配/-
1593742248,重庆奥迪A3 2015款 Sportback 35 TFSI 百万纪念智领型二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/cq/d4775ddd88265749x.htm,一汽-大众奥迪,紧凑型车,1.4T/150马力/L4,7挡双离合,5门5座两厢车,4319/1785/1441,2629,380-1220,1340
1593742248,重庆奥迪A3 2015款 Sportback 35 TFSI 百万纪念智领型二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/cq/d4775ddd88265749x.htm,1.4,涡轮增压,4缸,150,250,汽油,95号,直喷,国4(国5)
1593742248,重庆奥迪A3 2015款 Sportback 35 TFSI 百万纪念智领型二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/cq/d4775ddd88265749x.htm,前置前驱,电动助力,麦弗逊式独立悬架,多连杆独立悬架,通风盘式,盘式,电子驻车,205/55 R16,205/55 R16
1593742248,重庆奥迪A3 2015款 Sportback 35 TFSI 百万纪念智领型二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/cq/d4775ddd88265749x.htm,标配/标配,标配/-,标配/标配,-,标配,标配,-,标配,标配
1593742248,重庆奥迪A3 2015款 Sportback 35 TFSI 百万纪念智领型二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/cq/d4775ddd88265749x.htm,标配,标配,-,-,-,标配,标配/标配,标配,-
1593742248,重庆奥迪A3 2015款 Sportback 35 TFSI 百万纪念智领型二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/cq/d4775ddd88265749x.htm,标配,-,-,手动,-,标配,-,-,-/-
1593742275,青岛奥迪A3 2016款 Sportback 35 TFSI 特别版二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/qd/e76d9cbebd413f32x.htm,一汽-大众奥迪,紧凑型车,1.4T/150马力/L4,7挡双离合,5门5座两厢车,4319/1785/1426,2629,380-1220,1340
1593742275,青岛奥迪A3 2016款 Sportback 35 TFSI 特别版二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/qd/e76d9cbebd413f32x.htm,1.4,涡轮增压,4缸,150,250,汽油,95号,直喷,国4(国5)
1593742275,青岛奥迪A3 2016款 Sportback 35 TFSI 特别版二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/qd/e76d9cbebd413f32x.htm,前置前驱,电动助力,麦弗逊式独立悬架,多连杆独立悬架,通风盘式,盘式,电子驻车,225/40 R18,225/40 R18
1593742275,青岛奥迪A3 2016款 Sportback 35 TFSI 特别版二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/qd/e76d9cbebd413f32x.htm,标配/标配,标配/选配,标配/标配,标配,标配,标配,选配,标配,标配
1593742275,青岛奥迪A3 2016款 Sportback 35 TFSI 特别版二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/qd/e76d9cbebd413f32x.htm,标配,标配,-,-,选配,标配,标配/标配,标配,标配
1593742275,青岛奥迪A3 2016款 Sportback 35 TFSI 特别版二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/qd/e76d9cbebd413f32x.htm,标配,选配,-,自动,选配,标配,标配,标配,选配/-
1593742275,潍坊奥迪A3 2018款 30周年年型 Sportback 35 TFSI 时尚型二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/weifang/08f16d66f9739a57x.htm,一汽-大众奥迪,紧凑型车,1.4T/150马力/L4,7挡双离合,5门5座两厢车,4321/1785/1426,2629,380-1220,1340
1593742275,潍坊奥迪A3 2018款 30周年年型 Sportback 35 TFSI 时尚型二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/weifang/08f16d66f9739a57x.htm,1.4,涡轮增压,4缸,150,250,汽油,95号,直喷,国5
1593742275,潍坊奥迪A3 2018款 30周年年型 Sportback 35 TFSI 时尚型二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/weifang/08f16d66f9739a57x.htm,前置前驱,电动助力,麦弗逊式独立悬架,多连杆独立悬架,通风盘式,盘式,电子驻车,225/45 R17,225/45 R17
1593742275,潍坊奥迪A3 2018款 30周年年型 Sportback 35 TFSI 时尚型二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/weifang/08f16d66f9739a57x.htm,标配/标配,标配/选配,标配/标配,标配,标配,标配,-,标配,标配
1593742275,潍坊奥迪A3 2018款 30周年年型 Sportback 35 TFSI 时尚型二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/weifang/08f16d66f9739a57x.htm,标配,-,-,-,标配,标配,标配/标配,标配,选配
1593742275,潍坊奥迪A3 2018款 30周年年型 Sportback 35 TFSI 时尚型二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/weifang/08f16d66f9739a57x.htm,标配,选配,-,-,选配,标配,选配,-,选配/-
1593742303,北京二手奥迪A3 2018款 30周年年型 Sportback 40 TFSI 风尚型_北京昌平二手车交易市场-瓜子二手车,https://www.guazi.com/bj/069c1dd6b12d85b1x.htm,一汽-大众奥迪,紧凑型车,2.0T/190马力/L4,7挡双离合,5门5座两厢车,4312/1785/1426,2629,380-1220,1435
1593742303,北京二手奥迪A3 2018款 30周年年型 Sportback 40 TFSI 风尚型_北京昌平二手车交易市场-瓜子二手车,https://www.guazi.com/bj/069c1dd6b12d85b1x.htm,2.0,涡轮增压,4缸,190,320,汽油,95号,混合喷射,国5
1593742303,北京二手奥迪A3 2018款 30周年年型 Sportback 40 TFSI 风尚型_北京昌平二手车交易市场-瓜子二手车,https://www.guazi.com/bj/069c1dd6b12d85b1x.htm,前置前驱,电动助力,麦弗逊式独立悬架,多连杆独立悬架,通风盘式,盘式,电子驻车,225/40 R18,225/40 R18
1593742303,北京二手奥迪A3 2018款 30周年年型 Sportback 40 TFSI 风尚型_北京昌平二手车交易市场-瓜子二手车,https://www.guazi.com/bj/069c1dd6b12d85b1x.htm,标配/标配,标配/选配,标配/标配,标配,标配,标配,-,标配,标配
1593742303,北京二手奥迪A3 2018款 30周年年型 Sportback 40 TFSI 风尚型_北京昌平二手车交易市场-瓜子二手车,https://www.guazi.com/bj/069c1dd6b12d85b1x.htm,标配,-,-,-,标配,标配,标配/标配,标配,选配
1593742303,北京二手奥迪A3 2018款 30周年年型 Sportback 40 TFSI 风尚型_北京昌平二手车交易市场-瓜子二手车,https://www.guazi.com/bj/069c1dd6b12d85b1x.htm,标配,选配,-,自动,选配,标配,标配,标配,选配/-
1593742303,武汉奥迪A3 2019款 Sportback 35 TFSI 时尚型 国V二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/wh/ba896a2068d3477fx.htm,一汽-大众奥迪,紧凑型车,1.4T/150马力/L4,7挡双离合,5门5座两厢车,4321/1785/1426,2629,380-1220,1340
1593742303,武汉奥迪A3 2019款 Sportback 35 TFSI 时尚型 国V二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/wh/ba896a2068d3477fx.htm,1.4,涡轮增压,4缸,150,250,汽油,95号,直喷,国5
1593742303,武汉奥迪A3 2019款 Sportback 35 TFSI 时尚型 国V二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/wh/ba896a2068d3477fx.htm,前置前驱,电动助力,麦弗逊式独立悬架,多连杆式独立悬架,通风盘式,盘式,电子驻车,225/45 R17,225/45 R17
1593742303,武汉奥迪A3 2019款 Sportback 35 TFSI 时尚型 国V二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/wh/ba896a2068d3477fx.htm,标配/标配,标配/选配,标配/标配,标配,标配,标配,-,标配,标配
1593742303,武汉奥迪A3 2019款 Sportback 35 TFSI 时尚型 国V二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/wh/ba896a2068d3477fx.htm,标配,-,-,-,标配,标配,标配/标配,标配,选配
1593742303,武汉奥迪A3 2019款 Sportback 35 TFSI 时尚型 国V二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/wh/ba896a2068d3477fx.htm,标配,选配,-,-,选配,标配,选配,-,选配/-
1593742331,天津奥迪A3 2014款 Sportback 35 TFSI 自动舒适型二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/tj/6bd488ffa22f319ax.htm,一汽-大众奥迪,紧凑型车,1.4T/150马力/L4,7挡双离合,5门5座两厢车,4319/1785/1441,2629,380-1220,1340
1593742331,天津奥迪A3 2014款 Sportback 35 TFSI 自动舒适型二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/tj/6bd488ffa22f319ax.htm,1.4,涡轮增压,4缸,150,250,汽油,95号,直喷,国4(国5)
1593742331,天津奥迪A3 2014款 Sportback 35 TFSI 自动舒适型二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/tj/6bd488ffa22f319ax.htm,前置前驱,电动助力,麦弗逊式独立悬架,多连杆独立悬架,通风盘式,盘式,电子驻车,225/45 R17,225/45 R17
1593742331,天津奥迪A3 2014款 Sportback 35 TFSI 自动舒适型二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/tj/6bd488ffa22f319ax.htm,标配/标配,标配/选配,标配/-,标配,标配,标配,选配,标配,标配
1593742331,天津奥迪A3 2014款 Sportback 35 TFSI 自动舒适型二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/tj/6bd488ffa22f319ax.htm,标配,-,-,-,选配,标配,标配/标配,标配,选配
1593742331,天津奥迪A3 2014款 Sportback 35 TFSI 自动舒适型二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/tj/6bd488ffa22f319ax.htm,标配,选配,-,自动,选配,标配,选配,标配,选配/-
1593742331,北京二手奥迪A3 2017款 Sportback 35 TFSI 风尚型_北京丰台二手车交易市场-瓜子二手车,https://www.guazi.com/bj/d93242b521a27d16x.htm,一汽-大众奥迪,紧凑型车,1.4T/150马力/L4,7挡双离合,5门5座两厢车,4312/1785/1426,2629,380-1220,1340
1593742331,北京二手奥迪A3 2017款 Sportback 35 TFSI 风尚型_北京丰台二手车交易市场-瓜子二手车,https://www.guazi.com/bj/d93242b521a27d16x.htm,1.4,涡轮增压,4缸,150,250,汽油,95号,直喷,国5
1593742331,北京二手奥迪A3 2017款 Sportback 35 TFSI 风尚型_北京丰台二手车交易市场-瓜子二手车,https://www.guazi.com/bj/d93242b521a27d16x.htm,前置前驱,电动助力,麦弗逊式独立悬架,多连杆独立悬架,通风盘式,盘式,电子驻车,225/40 R18,225/40 R18
1593742331,北京二手奥迪A3 2017款 Sportback 35 TFSI 风尚型_北京丰台二手车交易市场-瓜子二手车,https://www.guazi.com/bj/d93242b521a27d16x.htm,标配/标配,标配/选配,标配/标配,标配,标配,标配,选配,标配,标配
1593742331,北京二手奥迪A3 2017款 Sportback 35 TFSI 风尚型_北京丰台二手车交易市场-瓜子二手车,https://www.guazi.com/bj/d93242b521a27d16x.htm,标配,标配,-,-,标配,标配,标配/标配,标配,选配
1593742331,北京二手奥迪A3 2017款 Sportback 35 TFSI 风尚型_北京丰台二手车交易市场-瓜子二手车,https://www.guazi.com/bj/d93242b521a27d16x.htm,标配,选配,-,自动,选配,标配,标配,标配,选配/-
1593742358,新乡奥迪A3 2019款 Sportback 35 TFSI 时尚型 国V二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/xinxiang/75dd595cdcee1666x.htm,一汽-大众奥迪,紧凑型车,1.4T/150马力/L4,7挡双离合,5门5座两厢车,4321/1785/1426,2629,380-1220,1340
1593742358,新乡奥迪A3 2019款 Sportback 35 TFSI 时尚型 国V二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/xinxiang/75dd595cdcee1666x.htm,1.4,涡轮增压,4缸,150,250,汽油,95号,直喷,国5
1593742358,新乡奥迪A3 2019款 Sportback 35 TFSI 时尚型 国V二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/xinxiang/75dd595cdcee1666x.htm,前置前驱,电动助力,麦弗逊式独立悬架,多连杆式独立悬架,通风盘式,盘式,电子驻车,225/45 R17,225/45 R17
1593742358,新乡奥迪A3 2019款 Sportback 35 TFSI 时尚型 国V二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/xinxiang/75dd595cdcee1666x.htm,标配/标配,标配/选配,标配/标配,标配,标配,标配,-,标配,标配
1593742358,新乡奥迪A3 2019款 Sportback 35 TFSI 时尚型 国V二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/xinxiang/75dd595cdcee1666x.htm,标配,-,-,-,标配,标配,标配/标配,标配,选配
